config;instance;run;solutionCosts;optimal;feasible;totalTime;improvement of runtime over runtime without batching;average number of jobs per batch;normalised objective bound;total running time;total setup time;total setup costs;number of too late jobs;number of batches;solution_method;instance_number;objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/01RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.json;1;0.8932063492063492;-1;1;-1;-1;-1;-1;39;14;20;9;8;upperBounds;1;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/10RandomOvenSchedulingInstance-n10-k2-a5-WithInitialStates.json;1;0.981395238095238;-1;1;-1;-1;-1;-1;426;75;96;10;5;upperBounds;10;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/100RandomOvenSchedulingInstance-n250-k5-a5--2212-22.59.37.json;1;0.9551111111111111;-1;1;-1;-1;-1;-1;511;147;93;247;80;upperBounds;100;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/101RandomOvenSchedulingInstance-n500-k2-a2--2312-08.39.34.json;1;0.9661015873015874;-1;1;-1;-1;-1;-1;908;0;230;500;115;upperBounds;101;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/102RandomOvenSchedulingInstance-n500-k2-a2--2312-08.39.52.json;1;0.963038246409675;-1;1;-1;-1;-1;-1;6609;1425;1469;500;101;upperBounds;102;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/103RandomOvenSchedulingInstance-n500-k2-a2--2312-08.42.31.json;1;0.9787877198879552;-1;1;-1;-1;-1;-1;16614;2888;2673;499;286;upperBounds;103;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/104RandomOvenSchedulingInstance-n500-k2-a2--2312-08.43.18.json;1;0.7523365079365079;-1;1;-1;-1;-1;-1;1429;245;245;383;245;upperBounds;104;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/105RandomOvenSchedulingInstance-n500-k2-a2--2312-08.43.24.json;1;0.9790761904761904;-1;1;-1;-1;-1;-1;1839;588;351;500;280;upperBounds;105;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/106RandomOvenSchedulingInstance-n500-k2-a5--2312-08.45.54.json;1;0.9721587301587302;-1;1;-1;-1;-1;-1;1292;542;531;500;206;upperBounds;106;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/107RandomOvenSchedulingInstance-n500-k2-a5--2312-08.46.41.json;1;0.9850026666666667;-1;1;-1;-1;-1;-1;17733;5880;2940;500;294;upperBounds;107;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/108RandomOvenSchedulingInstance-n500-k2-a5--2312-08.48.35.json;1;0.9705142857142857;-1;1;-1;-1;-1;-1;1513;329;430;498;217;upperBounds;108;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/109RandomOvenSchedulingInstance-n500-k2-a5--2312-08.48.50.json;1;0.9631619047619048;-1;1;-1;-1;-1;-1;723;168;252;500;84;upperBounds;109;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/11RandomOvenSchedulingInstance-n10-k5-a2-WithInitialStates.json;1;0.9756825396825397;-1;1;-1;-1;-1;-1;26;8;11;10;5;upperBounds;11;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/110RandomOvenSchedulingInstance-n500-k2-a5--2312-08.48.59.json;1;0.9808043414195866;-1;1;-1;-1;-1;-1;17051;5139;5134;500;293;upperBounds;110;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/111RandomOvenSchedulingInstance-n500-k5-a2--0301-10.09.05.json;1;0.9819675070028011;-1;1;-1;-1;-1;-1;16209;5922;3666;500;282;upperBounds;111;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/112RandomOvenSchedulingInstance-n500-k5-a2--2312-10.35.09.json;1;0.5152888888888889;-1;1;-1;-1;-1;-1;1395;289;368;260;236;upperBounds;112;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/113RandomOvenSchedulingInstance-n500-k5-a2--2312-10.35.11.json;1;0.9718095238095238;-1;1;-1;-1;-1;-1;1407;401;246;500;184;upperBounds;113;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/114RandomOvenSchedulingInstance-n500-k5-a2--2312-10.36.44.json;1;0.5575325490196078;-1;1;-1;-1;-1;-1;21816;8403;3891;273;410;upperBounds;114;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/115RandomOvenSchedulingInstance-n500-k5-a2--2312-10.37.20.json;1;0.9772444444444445;-1;1;-1;-1;-1;-1;1958;855;0;500;285;upperBounds;115;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/116RandomOvenSchedulingInstance-n500-k5-a5--2312-10.43.12.json;1;0.8891619047619047;-1;1;-1;-1;-1;-1;615;71;142;462;71;upperBounds;116;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/117RandomOvenSchedulingInstance-n500-k5-a5--2312-10.43.31.json;1;0.9830603174603174;-1;1;-1;-1;-1;-1;1927;652;652;500;326;upperBounds;117;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/118RandomOvenSchedulingInstance-n500-k5-a5--2312-10.44.39.json;1;0.9677968253968254;-1;1;-1;-1;-1;-1;1214;159;0;500;159;upperBounds;118;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/119RandomOvenSchedulingInstance-n500-k5-a5--2312-10.45.22.json;1;0.9808698412698412;-1;1;-1;-1;-1;-1;1948;850;891;499;326;upperBounds;119;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/12RandomOvenSchedulingInstance-n10-k5-a2-WithInitialStates.json;1;0.7988571428571428;-1;1;-1;-1;-1;-1;41;15;18;8;7;upperBounds;12;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/120RandomOvenSchedulingInstance-n500-k5-a5--2312-11.10.45.json;1;0.9685339309056956;-1;1;-1;-1;-1;-1;9823;1950;1940;500;154;upperBounds;120;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/13RandomOvenSchedulingInstance-n10-k5-a2-WithInitialStates.json;1;0.8847845036319613;-1;1;-1;-1;-1;-1;375;53;90;9;6;upperBounds;13;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/14RandomOvenSchedulingInstance-n10-k5-a2-WithInitialStates.json;1;0.9755996472663139;-1;1;-1;-1;-1;-1;292;55;55;10;4;upperBounds;14;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/15RandomOvenSchedulingInstance-n10-k5-a2-WithInitialStates.json;1;0.6893333333333332;-1;1;-1;-1;-1;-1;297;16;80;7;4;upperBounds;15;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/16RandomOvenSchedulingInstance-n10-k5-a5-WithInitialStates.json;1;0.9956115779645193;-1;1;-1;-1;-1;-1;464;126;207;10;9;upperBounds;16;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/17RandomOvenSchedulingInstance-n10-k5-a5-WithInitialStates.json;1;0.32900793650793647;-1;1;-1;-1;-1;-1;770;125;131;3;10;upperBounds;17;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/18RandomOvenSchedulingInstance-n10-k5-a5-WithInitialStates.json;1;0.9886868686868686;-1;1;-1;-1;-1;-1;497;88;40;10;8;upperBounds;18;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/19RandomOvenSchedulingInstance-n10-k5-a5-WithInitialStates.json;1;0.3296761904761905;-1;1;-1;-1;-1;-1;499;112;156;3;10;upperBounds;19;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/02RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.json;1;0.9807936507936508;-1;1;-1;-1;-1;-1;51;7;13;10;7;upperBounds;2;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/20RandomOvenSchedulingInstance-n10-k5-a5-WithInitialStates.json;1;0.5952811932226307;-1;1;-1;-1;-1;-1;261;69;86;6;6;upperBounds;20;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/21RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.json;1;0.7841995464852608;-1;1;-1;-1;-1;-1;89;22;23;20;13;upperBounds;21;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/22RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.json;1;0.9245714285714286;-1;1;-1;-1;-1;-1;39;11;3;24;5;upperBounds;22;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/23RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.json;1;0.9736594999203695;-1;1;-1;-1;-1;-1;647;80;140;25;10;upperBounds;23;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/24RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.json;1;0.9438624338624337;-1;1;-1;-1;-1;-1;791;303;211;24;15;upperBounds;24;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/25RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.json;1;0.9021848739495798;-1;1;-1;-1;-1;-1;717;108;252;23;12;upperBounds;25;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/26RandomOvenSchedulingInstance-n25-k2-a5-WithInitialStates.json;1;0.9809523809523809;-1;1;-1;-1;-1;-1;70;15;15;25;13;upperBounds;26;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/27RandomOvenSchedulingInstance-n25-k2-a5-WithInitialStates.json;1;0.9881904761904762;-1;1;-1;-1;-1;-1;969;18;54;25;18;upperBounds;27;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/28RandomOvenSchedulingInstance-n25-k2-a5-WithInitialStates.json;1;0.9867748272642392;-1;1;-1;-1;-1;-1;992;266;312;25;18;upperBounds;28;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/29RandomOvenSchedulingInstance-n25-k2-a5-WithInitialStates.json;1;0.9545835497835499;-1;1;-1;-1;-1;-1;1207;126;72;24;18;upperBounds;29;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/03RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.json;1;0.22968253968253968;-1;1;-1;-1;-1;-1;58;17;5;2;10;upperBounds;3;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/30RandomOvenSchedulingInstance-n25-k2-a5-WithInitialStates.json;1;0.9764840526849037;-1;1;-1;-1;-1;-1;664;174;169;25;9;upperBounds;30;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/31RandomOvenSchedulingInstance-n25-k5-a2-WithInitialStates.json;1;0.7575873015873016;-1;1;-1;-1;-1;-1;95;40;38;19;21;upperBounds;31;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/32RandomOvenSchedulingInstance-n25-k5-a2-WithInitialStates.json;1;0.6097777777777778;-1;1;-1;-1;-1;-1;128;23;46;15;21;upperBounds;32;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/33RandomOvenSchedulingInstance-n25-k5-a2-WithInitialStates.json;1;0.3832380952380952;-1;1;-1;-1;-1;-1;1113;154;110;9;22;upperBounds;33;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/34RandomOvenSchedulingInstance-n25-k5-a2-WithInitialStates.json;1;0.9834192592592593;-1;1;-1;-1;-1;-1;760;108;348;25;15;upperBounds;34;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/35RandomOvenSchedulingInstance-n25-k5-a2-WithInitialStates.json;1;0.3758692048247871;-1;1;-1;-1;-1;-1;934;314;177;9;17;upperBounds;35;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/36RandomOvenSchedulingInstance-n25-k5-a5-WithInitialStates.json;1;0.9716462585034014;-1;1;-1;-1;-1;-1;71;10;10;25;10;upperBounds;36;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/37RandomOvenSchedulingInstance-n25-k5-a5-WithInitialStates.json;1;0.9955961904761905;-1;1;-1;-1;-1;-1;1143;264;462;25;22;upperBounds;37;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/38RandomOvenSchedulingInstance-n25-k5-a5-WithInitialStates.json;1;0.9504082051282052;-1;1;-1;-1;-1;-1;1111;242;234;24;20;upperBounds;38;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/39RandomOvenSchedulingInstance-n25-k5-a5-WithInitialStates.json;1;0.8396608946608947;-1;1;-1;-1;-1;-1;1235;405;343;21;22;upperBounds;39;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/04RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.json;1;0.5892063492063492;-1;1;-1;-1;-1;-1;24;6;8;6;3;upperBounds;4;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/40RandomOvenSchedulingInstance-n25-k5-a5-WithInitialStates.json;1;0.6138268131868132;-1;1;-1;-1;-1;-1;1243;426;392;15;24;upperBounds;40;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/41RandomOvenSchedulingInstance-n50-k2-a2-WithInitialStates.json;1;0.9686258503401362;-1;1;-1;-1;-1;-1;123;15;15;50;18;upperBounds;41;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/42RandomOvenSchedulingInstance-n50-k2-a2-WithInitialStates.json;1;0.9793650793650794;-1;1;-1;-1;-1;-1;190;36;45;50;30;upperBounds;42;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/43RandomOvenSchedulingInstance-n50-k2-a2-WithInitialStates.json;1;0.9684444444444444;-1;1;-1;-1;-1;-1;104;15;15;50;15;upperBounds;43;combined objective
